"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Q0010",0,NA,NA,NA,NA,NA
"Q0017",0,NA,NA,NA,NA,NA
"Q0032",0,NA,NA,NA,NA,NA
"Q0045",0.158025493323153,-0.0590373146790511,3.06540673261896,-0.0192592108743142,0.984634322895007,NA
"Q0050",0.444815526314689,0.122581935080109,1.93876362441945,0.063226859394381,0.949585856860285,0.971719292177197
"Q0055",0.0750525826376591,0.671876720832407,3.5338115409304,0.190128056646595,0.849208785033858,NA
"Q0060",0,NA,NA,NA,NA,NA
"Q0065",0,NA,NA,NA,NA,NA
"Q0070",0,NA,NA,NA,NA,NA
"Q0075",0,NA,NA,NA,NA,NA
"Q0080",0,NA,NA,NA,NA,NA
"Q0085",0.0756586269335641,0.671876720832407,3.5338115409304,0.190128056646595,0.849208785033858,NA
"Q0092",0,NA,NA,NA,NA,NA
"Q0105",0.0750525826376591,0.671876720832407,3.5338115409304,0.190128056646595,0.849208785033858,NA
"Q0110",0,NA,NA,NA,NA,NA
"Q0115",0,NA,NA,NA,NA,NA
"Q0120",0.0756586269335641,0.671876720832407,3.5338115409304,0.190128056646595,0.849208785033858,NA
"Q0130",0.151103118146559,-0.0462544840397911,3.11300195734301,-0.0148584821576116,0.988145082701639,NA
"Q0140",0,NA,NA,NA,NA,NA
"Q0142",0,NA,NA,NA,NA,NA
"Q0143",0,NA,NA,NA,NA,NA
"Q0144",0,NA,NA,NA,NA,NA
"Q0160",0,NA,NA,NA,NA,NA
"Q0182",0,NA,NA,NA,NA,NA
"Q0250",0.158394143956818,-0.054631021354315,3.06239403109719,-0.0178393181280927,0.985767038413646,NA
"Q0255",0,NA,NA,NA,NA,NA
"Q0275",0.0756586269335641,0.671876720832407,3.5338115409304,0.190128056646595,0.849208785033858,NA
"Q0297",0,NA,NA,NA,NA,NA
"YAL001C",70.9754460354541,-0.454596693530342,0.183293401297753,-2.48015853441373,0.0131323979617921,0.0383832731920711
"YAL002W",62.9734917914574,-0.158150350300365,0.180237145945461,-0.877457027355618,0.380238449964752,0.532890153109545
"YAL003W",1052.80188767,1.2721996047185,0.0442531550734795,28.7482237731095,9.53270190711274e-182,7.17449303056747e-180
"YAL004W",0,NA,NA,NA,NA,NA
"YAL005C",1809.21578800176,1.81464856413146,0.0356343552897955,50.9241306422937,0,0
"YAL007C",124.27836945099,-0.139353154106435,0.132041082092559,-1.05537725000428,0.29125282336494,0.44325959299787
"YAL008W",60.3123279536275,-0.103345417499951,0.184326903448377,-0.560663774883489,0.57502676661136,0.710249170961245
"YAL009W",41.6196726938896,-0.610606321995962,0.240999301762864,-2.53364353145214,0.0112883499806841,0.0339025883980449
"YAL010C",43.1737232565013,-0.373015297832186,0.216694806008494,-1.7213855038942,0.0851808929840573,0.176444772119983
"YAL011W",50.9250696631398,-0.655340312618564,0.202834387122885,-3.23091326827899,0.00123395376817835,0.00493425409387953
"YAL012W",795.057712453456,0.604790723346649,0.0513985219045139,11.7666948569106,5.79507291141759e-32,1.06501310889483e-30
